index,c_ethnicity_code,c_group_code,c_subgroup_code,c_altname_code,c_name_chn,c_name,c_ethno_legal_cat,c_romanized,c_surname,c_notes,JiuTangShu,XinTangShu,JiuWudaiShi,XinWudaiShi,SongShi,LiaoShi,JinShi,YuanShi,MingShi,QingShiGao,c_sortorder
10,11,3,1.0,4.0,囘囘,hui hui,,Uyghur,,"""C. Atwood note:Huihui and Huihe are in the process of evolution from """"Uyghur"""" to """"Turkestani"""" to """"Muslim"""" in the Yuan; it's hard to tell in any one instance what is meant. """,,,,,,,,,,,8.0
11,12,3,1.0,5.0,囘紇,hui he,,Uyghur,,"""C. Atwood note:Huihui and Huihe are in the process of evolution from """"Uyghur"""" to """"Turkestani"""" to """"Muslim"""" in the Yuan; it's hard to tell in any one instance what is meant. """,,,,,,,,,,,9.0
12,13,13,1.0,1.0,日本,ri ben,,Nihon,,[舊唐書中倭國與日本國分列兩條，兩者之間關係有三說]；日本，古倭奴也（新唐書）；日本國者，本倭奴國也．自以其國近日所出，故以日本為名；或云惡其舊名改之也（宋史）；日本國在東海之東，古稱倭奴國，或云惡其舊名，故改名日本，以其國近日所出也（元史）,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,52.0
13,14,3,2.0,1.0,薛延陀,xue yan tuo,,,,其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）,,,,,,,,,,,10.0
14,15,3,2.0,2.0,拔野古,ba ye gu,,,,其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）,,,,,,,,,,,11.0
15,16,3,2.0,3.0,僕骨,pu gu,,,,其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）,,,,,,,,,,,12.0
16,17,3,2.0,4.0,同羅,tong luo,,,,其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）,,,,,,,,,,,13.0
17,18,3,2.0,5.0,白霫,bai xi,,,,其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）,,,,,,,,,,,14.0
18,19,3,2.0,6.0,斛薛,hu xue,,,,其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）,,,,,,,,,,,15.0
19,20,3,3.0,1.0,西州回鶻,xi zhou hui he,,,,Ethnicity code 21;本回鶻別種{A14B}{A14B}或稱西州回鶻，或稱西州龜茲，又稱龜茲回鶻（宋史）,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16.0
20,21,3,3.0,2.0,龜茲,qiu ci,,,,Ethnicity code 21;本回鶻別種{A14B}{A14B}或稱西州回鶻，或稱西州龜茲，又稱龜茲回鶻（宋史）,,,,,,,,,,,17.0
21,22,3,3.0,3.0,丘茲,qiu ci,,,,,,,,,,,,,,,18.0
22,23,3,3.0,4.0,屈茲,qu ci,,,,,,,,,,,,,,,19.0
23,24,3,3.0,5.0,西州龜茲,xi zhou qiu ci,,,,本回鶻別種{A14B}{A14B}或稱西州回鶻，或稱西州龜茲，又稱龜茲回鶻（宋史）,,,,,,,,,,,20.0
24,25,3,5.0,1.0,畏兀,wei wu,Semuren,Uyi'ur,,C. Atwood note:Uyi'ur (plural Uyi'ud; i.e. Uyghur); ethno-legal category Semuren,,,,,,,,,,,21.0
25,26,3,5.0,2.0,畏兀兒,wei wu er,Semuren,Uyi'ur,,C. Atwood note:Uyi'ur (i.e. Uyghur); ethno-legal category Semuren,,,,,,,,,,,22.0
26,27,3,5.0,3.0,畏吾,wei wu,Semuren,Uyi'ur,,C. Atwood note:Uyi'ur (plural Uyi'ud; i.e. Uyghur); ethno-legal category Semuren,,,,,,,,,,,23.0
27,28,3,5.0,4.0,畏吾兒,wei wu er,Semuren,Uyi'ur,,C. Atwood note:Uyi'ur (i.e. Uyghur); ethno-legal category Semuren,,,,,,,,,,,24.0
28,29,3,6.0,1.0,高車,gao ju,,,,Ethnicity code 3;其先匈奴之裔也，在後魏時，號鐵勒部落．其#微小，其俗驍強，依託高車，臣屬突厥，近謂之特勒（舊唐書）；其先匈奴也，俗多乘高輪車，元魏時亦號高車部，或曰敕勒，訛為鐵勒．其部落曰袁紇、薛延陀、契苾羽、都播、骨利幹、多覽葛、僕骨、拔野古、同羅、渾、思結、斛薛、奚結、阿跌、白霫，凡十有五種，皆散處磧北（新唐書）；其先匈奴之種也．後魏時，號為鐵勒，亦名回紇．唐元和四年，本國可汗遣使上言，改為回鶻，義取迴旋搏擊，如鶻之迅捷也（舊五代史）；本匈奴之別裔，在天德西北娑陵水上．後魏號鐵勒，唐初號特勒，後稱回紇（宋史）,,,,,,,,,,,25.0
29,30,3,6.0,2.0,鐵勒,tie le,,,,Ethnicity code 3,,,,,,,,,,,26.0
30,31,3,6.0,3.0,特勒,te le,,,,,,,,,,,,,,,27.0
31,32,3,6.0,4.0,敕勒,chi le,,,,,,,,,,,,,,,28.0
32,33,3,7.0,1.0,古素魯,gu su lu,,Gusur,,"""C. Atwood note:Could be Gusur~Gusulu; from context Turkic  speaking but non-Muslim, which would mean it must be some kind of identifier in Uyghuristan; probably a place. CBDB note:  In Yuan sources identified as 回回古素魯.""",,,,,,,,,,,29.0
33,34,3,7.0,2.0,古速魯,gu su lu,,Gusur,,"""C. Atwood note:Could be Gusur~Gusulu; from context Turkic  speaking but non-Muslim, which would mean it must be some kind of identifier in Uyghuristan; probably a place. CBDB note:  In Yuan sources identified as 回回古速魯.""",,,,,,,,,,,30.0
34,35,3,9.0,1.0,八瓦耳,ba wa er,Semuren,Bavard,,C. Atwood note:Western (i.e. Central Asian or Middle Eastern) place name. Transcription consistent with Bavard; ethno-legal status: Semuren.,,,,,,,,,,,31.0
35,36,3,10.0,1.0,哈密理,ha mi li,Semuren,Qamïl,,"""C. Atwood note:Qamïl, the modern Qumul or Hami. Uyghurs; ethno-legal status Semuren.""",,,,,,,,,,,32.0
36,37,3,10.0,2.0,哈迷里,ha mi li,Semuren,Qamïl,,"""C. Atwood note:Qamïl, the modern Qumul or Hami. Uyghurs; ethno-legal status Semuren.""",,,,,,,,,,,33.0
37,38,4,2.0,1.0,沙陀,sha tuo,,,,西突厥別部處月種也（新唐書）,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35.0
38,39,38,1.0,1.0,柔然,ruo ran,,,,,,,,,,,,,,,113.0
39,40,38,1.0,2.0,蠕蠕,ru ru,,,,,,,,,,,,,,,114.0
40,41,41,1.0,1.0,南詔,nan zhao,,,,Ethnicity code 41;本烏蠻之別種也，姓蒙氏（舊唐書）；本哀牢夷後，烏蠻別種也．夷語王為「詔」．其先渠帥有六，自號「六詔」，曰蒙巂詔、越析詔、浪穹詔、邆睒詔、施浪詔、蒙舍詔．兵埒，不能相君，蜀諸葛亮討定之．蒙舍詔在諸部南，故稱南詔（新唐書）；曰大雲南蠻，曰小雲南蠻，即唐南詔，今名大理國（宋史）,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,115.0
41,42,5,2.0,1.0,扎赤丹,zha chi dan,Kitan,Jagchid,,"""C. Atwood note:From affiliation with person of the Shimo surname, should be a Kitan term. Perhaps Jagchidan (jagchid+dan (which is the plural of the gentilic suffix -dai).""",,,,,,,,,,,37.0
42,43,5,3.0,1.0,室韋,shi wei,,,,契丹別種，東胡之北邊，蓋丁零苗裔也{A14B}{A14B}其語言，靺鞨也（新唐書）,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.0
43,44,5,3.0,2.0,靺鞨,mo he,,,,契丹別種，東胡之北邊，蓋丁零苗裔也{A14B}{A14B}其語言，靺鞨也（新唐書）,,,,,,,,,,,39.0
44,45,6,1.0,1.0,奚,xi,,,,奚亦東胡種，為匈奴所破，保烏丸山{A14B}{A14B}元魏時自號庫真奚，居鮮卑故地{A14B}{A14B}至隋始去「庫真」，但曰奚（新唐書）；本匈奴之別種（新五代史）,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.0
45,46,5,4.0,1.0,契丹耶律,qi dan ye lv,,Kitan-Yelv,S,Kitan surname; later used as a kind of clan marker,,,,,,,,,,,40.0
46,47,5,5.0,1.0,契丹述律氏,qi dan shu lv,,Kitan-Shulv,S,Kitan surname; later used as a kind of clan marker,,,,,,,,,,,41.0
47,48,6,2.0,1.0,庫真奚,ku zhen xi,,,,,,,,,,,,,,,43.0
48,49,8,1.0,1.0,黑水靺鞨,hei shui mo she,,,,黑水靺鞨居肅慎地，亦曰挹婁，元魏時曰勿吉{A14B}{A14B}離為數十部，酋各自治．其著者曰粟末部亦曰徒太山{A14B}{A14B}；稍東北曰汨咄部；又次曰安居骨部；益東曰拂湼部；居骨之西北曰黑水部；粟末之東曰白山部（新唐書）；本號勿吉（新五代史）,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.0
49,50,8,2.0,1.0,挹婁,yi lou,,,,,,,,,,,,,,,45.0
50,51,18,1.0,1.0,高昌,gao chang,,Qocho,,"""漢車師前王廷也（新唐書）；漢車師前王之地（宋史);C. Atwood note:Gaochang (Uyghur and Mongolian: Qocho, which is actually just a rendering of the Chang'an Tang pronunciation)""",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59.0
51,52,19,1.0,1.0,吐谷渾,tu yu hun,,,,本號吐谷渾，或曰乞伏乾歸之苗裔．自後魏以來，名見中國（新五代史）,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61.0
52,53,8,3.0,1.0,勿吉,wu ji,,,,,,,,,,,,,,,46.0
53,54,9,2.0,1.0,渤海靺鞨,bo hai mo she,,,,Ethnicity code 9,,,,,,,,,,,48.0
54,55,11,1.0,1.0,扶餘,fu yu,,,,,,,,,,,,,,,49.0
55,56,11,2.0,1.0,百濟,bai ji,,,,本亦扶餘之別種，嘗為馬韓故地（舊唐書）；扶餘別種也（新唐書）,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.0
56,57,12,1.0,1.0,新羅,xin luo,,Silla,,本弁韓之苗裔也．其國在漢時樂浪之地（舊唐書）；弁韓苗裔也．居漢樂浪地（新唐書）；弁韓之遺種也（新五代史）,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51.0
57,58,14,1.0,1.0,流鬼,liu gui,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53.0
58,59,15,1.0,1.0,泥婆羅,ni po luo,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54.0
59,60,16,1.0,1.0,党項,dang xiang,,,,漢西羌之別種也（舊唐書）；漢西羌別種（新唐書）；西羌之遺種（新五代史）；古析支之地，漢西羌之別種（宋史）,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.0
60,61,16,2.0,1.0,党項羌,dang xiang qiang,,,,,,,,,,,,,,,56.0
61,62,17,1.0,1.0,東女,dong nv,,,,西羌之別種，以西海中復有女國，故稱東女焉（舊唐書）；亦曰蘇伐剌拏瞿咀羅，羌別種也，西海亦有女自王，故稱「東」別之（新唐書）,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.0
62,63,17,2.0,1.0,蘇伐剌拏瞿咀羅,su fa la na qu ju luo,,,,,,,,,,,,,,,58.0
63,64,19,2.0,1.0,吐渾,tu hun,,,,,,,,,,,,,,,62.0
64,65,20,1.0,1.0,焉耆,yan qi,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63.0
65,66,21,1.0,1.0,跋祿迦,ba lu jia,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64.0
66,67,67,1.0,1.0,交阯,jiao zhi,,,,Ethnicity code 67;本漢初南越之地（宋史）；安南國，古交趾也（元史）,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,164.0
67,68,21,2.0,1.0,亟墨,ji mo,,,,亟墨（即漢姑墨國）,,,,,,,,,,,65.0
68,69,22,1.0,1.0,疏勒,shu le,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66.0
69,70,23,1.0,1.0,于闐,yu tian,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.0
70,71,23,2.0,1.0,瞿薩旦那,qu sa dan na,,,,,,,,,,,,,,,68.0
71,72,23,3.0,1.0,渙那,huan na,,,,,,,,,,,,,,,69.0
72,73,23,4.0,1.0,屈丹,qu dan,,,,,,,,,,,,,,,70.0
73,74,24,1.0,1.0,天竺,tian zhu,,,,Ethnicity code 25;分東、西、南、北、中五天竺{A14B}{A14B}有別城數百，皆置長，別國數十（新唐書);身毒（漢）,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71.0
74,75,24,2.0,1.0,身毒,shen du,,,,Ethnicity code 25;,,,,,,,,,,,72.0
75,76,24,3.0,1.0,摩伽陀,mo qie tuo,,,,,,,,,,,,,,,73.0
76,77,24,4.0,1.0,婆羅門,po luo men,,,,,,,,,,,,,,,74.0
77,78,25,1.0,1.0,摩揭陀,mo jie tuo,,,,本中天竺屬國（新唐書）,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75.0
78,79,25,2.0,1.0,摩揭它,mo jie ta,,,,,,,,,,,,,,,76.0
79,80,25,3.0,1.0,摩伽陀,mo qie tuo,,,,,,,,,,,,,,,77.0
80,81,81,1.0,1.0,西南溪峒諸蠻,xi nan xi dong zhu man,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,177.0
81,82,26,1.0,1.0,罽賓,ji bin,,,,漕國（隋）,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78.0
82,83,26,2.0,1.0,漕國,cao guo,,,,,,,,,,,,,,,79.0
83,84,192,2.0,2.0,康,kang,,,,康居（漢）；薩末鞬、颯秣建，悉萬斤（元魏）,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,483.0
84,85,27,2.0,1.0,康居,kang ju,,,,,,,,,,,,,,,80.0
85,86,27,3.0,1.0,薩末鞬,sa mo jian,,,,,,,,,,,,,,,81.0
86,87,87,1.0,1.0,黎洞,li dong,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,183.0
87,88,27,3.0,2.0,颯秣建,sa mo jian,,,,,,,,,,,,,,,82.0
88,89,27,4.0,1.0,悉萬斤,xi wan jin,,,,,,,,,,,,,,,83.0
89,90,90,1.0,1.0,黎州諸蠻,li zhou zhu man,,,,黎州諸蠻，凡十二種：曰山後兩林蠻，在州南七日程；曰邛部川蠻[一五]，在州東南十二程；曰風琶蠻，在州西南一千一百里；曰保塞蠻，在州西南三百里；曰三王蠻，亦曰部落蠻，在州西百里；曰西箐蠻，有彌羌部落，在州西三百里；曰淨浪蠻，在州南一百五十里；曰白蠻，在州東南一百里；曰烏蒙蠻，在州東南千里；曰阿宗蠻，在州西南二日程．凡風琶、兩林、邛部皆謂之東蠻，其餘小蠻各分隸焉．邛部於諸蠻中最驕悍狡譎，招集蕃漢亡命，侵攘他種，閉其道以專利．曰大雲南蠻，曰小雲南蠻，即唐南詔，今名大理國（宋史）,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,186.0
90,91,28,1.0,1.0,寧遠,ning yuan,,,,破洛那（元魏,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84.0
91,92,28,2.0,1.0,拔汗那,ba han na,,,,,,,,,,,,,,,85.0
92,93,28,3.0,1.0,鏺汗,po han,,,,,,,,,,,,,,,86.0
93,94,28,4.0,1.0,破洛那,po luo na,,,,,,,,,,,,,,,87.0
94,95,29,1.0,1.0,大勃律,da bo lv,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,88.0
95,96,29,1.0,2.0,吐火羅,tu huo luo,,,,吐呼羅(元魏）,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,89.0
96,97,29,1.0,3.0,土豁羅,tu huo luo,,,,,,,,,,,,,,,90.0
97,98,29,1.0,4.0,覩貨邏,du huo luo,,,,,,,,,,,,,,,91.0
98,99,29,1.0,5.0,吐呼羅,tu hu luo,,,,,,,,,,,,,,,92.0
99,100,29,2.0,1.0,布露,bu lu,,,,,,,,,,,,,,,94.0
100,101,30,1.0,1.0,謝䫻,xie yu,,,,顯慶時謂訶達羅支，武后改今號（新唐書）訶達羅支（唐顯慶）,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,95.0
101,102,30,2.0,1.0,漕矩,cao ju,,,,,,,,,,,,,,,96.0
102,103,30,2.0,2.0,漕矩吒,cao ju zha,,,,,,,,,,,,,,,97.0
103,104,30,3.0,1.0,訶達羅支,he da luo zhi,,,,,,,,,,,,,,,98.0
104,105,31,1.0,1.0,識匿,shi ni,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,99.0
105,106,31,1.0,2.0,瑟匿,se ni,,,,,,,,,,,,,,,100.0
106,107,31,1.0,3.0,尸棄尼,shi qi ni,,,,,,,,,,,,,,,101.0
107,108,32,1.0,1.0,箇失密,ge shi mi,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,102.0
108,109,109,1.0,1.0,渝州蠻,yu zhou man,,,,古板楯七姓蠻、唐南平獠（宋史）,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,219.0
109,110,32,1.0,2.0,迦濕彌邏,jia shi mi luo,,,,,,,,,,,,,,,103.0
110,111,33,1.0,1.0,骨咄,gu duo,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,104.0
111,112,33,1.0,2.0,珂咄羅,ke duo luo,,,,,,,,,,,,,,,105.0
112,113,34,1.0,1.0,蘇毗,su pi,,,,本西羌族，為吐蕃所併，號孫波，在諸部最大（新唐書）,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106.0
113,114,35,1.0,1.0,師子,shi zi,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,107.0
114,115,36,1.0,1.0,波斯,bo si,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,108.0
115,116,37,1.0,1.0,拂菻,fu lin,,,,Ethnicity code 39,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,110.0
116,117,37,2.0,1.0,大秦,da qin,,,,Ethnicity code 39,,,,,,,,,,,111.0
117,118,37,3.0,1.0,海西國,hai xi guo,,,,,,,,,,,,,,,112.0
118,119,41,2.0,1.0,大理,da li,,,,Ethnicity code 41;曰大雲南蠻，曰小雲南蠻，即唐南詔，今名大理國（宋史）,,,,,,,,,,,116.0
119,120,41,3.0,1.0,鶴拓,he tuo,,,,,,,,,,,,,,,117.0
120,121,41,4.0,1.0,龍尾,long wei,,,,,,,,,,,,,,,118.0
121,122,41,5.0,1.0,苴咩,ju mie,,,,,,,,,,,,,,,119.0
122,123,41,6.0,1.0,陽劍,yang jian,,,,,,,,,,,,,,,120.0
123,124,42,1.0,1.0,蒙巂詔,meng xi zhao,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,121.0
124,125,43,1.0,1.0,越析詔,yue xi zhao,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,122.0
125,126,44,1.0,1.0,浪穹詔,lang qiong zhao,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123.0
126,127,45,1.0,1.0,邆睒詔,teng shan zhao,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,124.0
127,128,46,1.0,1.0,施浪詔,shi lang zhao,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125.0
128,129,47,1.0,1.0,環王,huan wang,,,,本林邑也（新唐書）,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126.0
129,130,47,2.0,1.0,占不勞,zhan bu lao,,,,,,,,,,,,,,,127.0
130,131,131,1.0,1.0,蒙古,meng gu,,Mongol,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,243.0
131,132,132,1.0,1.0,女真,nv zhen,,Jurchen,,,,,,,,,,,,,338.0
132,133,47,2.0,2.0,占婆,zhan po,,,,,,,,,,,,,,,128.0
133,134,48,1.0,1.0,盤盤,pan pan,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,129.0
134,135,49,1.0,1.0,扶南,fu nan,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130.0
