index,c_inst_name_code,c_inst_code,c_inst_type_code,c_inst_begin_year,c_by_nianhao_code,c_by_nianhao_year,c_by_year_range,c_inst_begin_dy,c_inst_floruit_dy,c_inst_first_known_year,c_inst_end_year,c_ey_nianhao_code,c_ey_nianhao_year,c_ey_year_range,c_inst_end_dy,c_inst_last_known_year,c_source,c_pages,c_notes,c_secondary_source_author
19,15,17,1,1300.0,,,2.0,18.0,18.0,,,,,,,,,,"from L.Walton: Liu Yueshen, 5.25a-26b",
20,16,18,1,,,,,18.0,18.0,,,,,,,,9599.0,13063,,
21,16,3032,1,1119.0,538.0,1.0,2.0,15.0,,,,,,,,,38280.0,373,多个出處:元代書院之地理分佈P373;中國古代的書院制度P29.,
22,16,3390,1,1278.0,623.0,15.0,2.0,18.0,,,,,,,,,,,,
23,17,19,1,1312.0,,,2.0,18.0,18.0,,,,,,,,,,"from L.Walton: Yuan Jue, 18.5b-6b; SYXA supp 63.27a-b",
24,17,2978,1,1119.0,538.0,1.0,2.0,15.0,,,,,,,,,38278.0,307,,
25,18,20,1,1275.0,,,2.0,18.0,,,,,,,,,,,"from L.Walton: He Menggui, 9.18b-21a; SYXA supp.70.63",
26,19,21,2,,,,,,18.0,,,,,,,,9599.0,14047,元代釋世誠113102居南昌般若寺,
27,19,22,2,1475.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,194,Temple ID 139191 Location: 五臺縣東樓觀谷; Founding: 明成化中,
28,19,23,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,194,Temple ID 140353 Location: 雲南縣北,
29,20,24,2,,,,,,18.0,,,,,,,,9599.0,14067,元代釋正珪113122居池州路報恩光孝禪寺,
30,20,25,2,628.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 138776 Location: 當塗縣南門內; Founding: 唐贞观二年,
31,21,26,2,,,,,,18.0,,,,,,,,9599.0,14217,元代釋從倫53568居大都報恩寺,
32,21,27,2,240.0,,,,,18.0,,,,,,,,9599.0,14248,元代釋善住30358居居吳郡報恩 寺; Temple ID 138777 Location: 府城隅; Founding: 吴孙权吴夫人舍宅; Other: 吴通元寺，唐名开元寺，吴越今名今称北寺,
33,21,28,2,1100.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,219,Temple ID 138778 Location: 山陽縣治東; Founding: 宋代; Other: 元代废，明洪武初重建,
34,21,29,2,627.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139551 Location: 常山縣北; Founding: 唐贞观二年; Other: 初名保安寺，明末废，康熙中重建,
35,21,30,2,800.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139679 Location: 府治東; Founding: 唐代; Other: 宋绍兴中今额，元废、明重建,
36,21,31,2,969.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139771 Location: 鐘祥縣東; Founding: 宋开宝二年,
37,21,32,2,525.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139785 Location: 安陸縣，隋州城內，應山縣; Founding: 梁天监中（一年）; Other: 由三寺而来,
38,21,33,2,1380.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139826 Location: 宣城縣，素陽縣均州; Founding: 明洪武中，宋代（三不明）; Other: 由三寺而来,
39,21,34,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139922 Location: 府治東; Other: 旧名天宁万寿寺，宋绍兴中今名,
40,21,35,2,1100.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139970 Location: 州西南芙蓉山; Founding: 宋代,
41,21,36,2,1090.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 139996 Location: 大足縣治東; Founding: 宋元祐中,
42,21,37,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,220,Temple ID 140081 Location: 舊州城車,
43,21,38,2,1132.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140175 Location: 州治東; Founding: 宋绍兴二年,
44,21,39,2,1265.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140258 Location: 陽朔縣治北; Founding: 宋景定中,
45,21,40,2,0.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140371 Location: 保山縣靈鷲山; Founding: 蒙氏时; Other: 元泰定中重建，俗称大寺,
46,21,41,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140446 Location: 餘慶縣南,
47,21,42,2,1368.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140461 Location: 天柱縣南門外; Founding: 明初; Other: 初名天平寺，后今名，一名兴宝祥林,
48,22,43,2,,,,,,18.0,,,,,,,,9599.0,14004,元代釋大訢28415居杭州報國寺,
49,22,44,2,910.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140152 Location: 建寧縣，金鏡山; Founding: 五代梁，龙德中,
50,22,45,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,221,Temple ID 140387 Location: 彌勤縣西,
51,23,46,2,,,,,,18.0,,,,,,,,9599.0,14038,元代釋文信113093居石湖寶華禪寺,
52,24,47,2,,,,,,18.0,,,,,,,,9599.0,14126,元代釋妙文113180居大都寶集寺,
53,25,48,2,,,,,,18.0,,,,,,,,9599.0,14237,元代釋紹大113284居義烏雲黃山寶林禪寺,
54,26,49,2,,,,,,18.0,,,,,,,,9599.0,14001,"元代釋大同113061居會稽之景德寺,寶林寺",
55,26,50,2,,,,,,18.0,,,,,,,,9599.0,14187,元代釋洪益113238居石龍山寶林寺,
56,26,51,2,1350.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,228,Temple ID 138557 Location: 府城西北隅; Founding: 元至正中，丹明,
57,26,52,2,686.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,228,Temple ID 138558 Location: 無為州西; Founding: 唐垂拱二年,
58,26,53,2,530.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,228,Temple ID 139543 Location: 義烏縣雲黃山; Founding: 梁大通中，博大士,
59,26,54,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,228,Temple ID 139786 Location: 應山縣北; Other: 明洪武中，正觉寺赐名,
60,26,55,2,1430.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,229,Temple ID 139827 Location: 棗陽縣東，光化縣南; Founding: 明宣德中宋代; Other: 由二个寺而来,
61,27,56,2,,,,,,18.0,,,,,,,,9599.0,14352,元代釋慧曇113397居集慶保寧寺,
62,27,57,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,213,Temple ID 139865 Location: 瀏縣江鄉; Other: 唐长髭居此,
63,28,58,2,,,,,,18.0,,,,,,,,9599.0,14379,元代釋覺慧113424居寶寧寺,
64,28,59,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,227,Temple ID 138548 Location: 蟸縣治西南隅; Other: 明洪武中重建,
65,29,60,1,,,,,18.0,18.0,,,,,,,,9599.0,9403,from L.Walton: SYXA:supp.bie 3.55a2,
66,29,3015,1,1119.0,538.0,1.0,2.0,15.0,,,,,,,,,38278.0,314,多个出處:宋代書院與宋代學術之關係P314;元代書院之地理分佈P377;中國古代的書院制度P51;中國書院制度考略P21.,
67,30,61,2,,,,,,18.0,,,,,,,,9599.0,14008,元代釋子文113066居慶元路寶雲寺,
68,31,62,2,,,,,,18.0,,,,,,,,9599.0,14055,元代釋可觀113110居杭州褒忠衍福寺,
69,32,63,2,350.0,,,,,18.0,,,,,,,,9599.0,14135,元代釋妙聲113188居本郡北禪寺; Temple ID 138314 Location: 長洲縣治東北; Founding: 晋载顒舍宅,
70,33,64,1,,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Wu Shidao in He Beishan yiji fulu, 4.23a-24a",
71,33,3301,1,1243.0,554.0,3.0,2.0,15.0,,,,,,,,,38278.0,320,,
72,33,3840,1,1300.0,625.0,4.0,2.0,18.0,,,,,,,,,38280.0,403,,
73,34,65,1,1345.0,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Su Tianjue, 3.5a-6b [Zhonghua ed., 2.32-34]",
74,35,66,1,1335.0,,,,18.0,18.0,,,,,,,,,,from L.Walton: 大明一統志 76:9a (4699);,
75,35,67,1,1300.0,,,2.0,18.0,18.0,,,,,,,,,,"from L.Walton: Tianxia, p.733",
76,35,3718,1,1346.0,636.0,6.0,0.0,18.0,,,,,,,,,38280.0,381,,
77,36,68,1,1217.0,,,2.0,15.0,18.0,,,,,,,,9599.0,7669,"from L.Walton: SYXA:supp. 82.224b-225a; 大明一統志 15.6a; 陶安, 陶學士集 [-SKQS], 20.8b-9b",
78,37,69,2,,,,,,18.0,,,,,,,,9599.0,14298,元代釋圓護113343居雲南蒼山寺,
79,38,70,1,1338.0,,,2.0,18.0,18.0,,,,,,,,,,"from L.Walton: 大明一統志 54.8b; Tianxia, p.523",
80,39,71,1,,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Li Qi, Yunyang ji [e-SKQS], 10.5b-6b [Inscription on Caotang Academy's Library]",
81,39,3211,1,1181.0,621.0,8.0,2.0,59.0,,,,,,,,,38278.0,306,多个出處:宋代書院與宋代學術之關係P306;江西古代書院研究P108.,
82,40,72,1,,,,,18.0,18.0,,,,,,,,9599.0,3238,"from L.Walton: Cheng Jufu, Cheng Xuelou wenji [NCL Yuandai zhenben ed., 1960], 15.7b-8a",
83,41,73,2,,,,,,18.0,,,,,,,,9599.0,14031,元代釋元瀞113086居長慶寺,
84,42,74,1,1296.0,,,,18.0,18.0,,,,,,,,9599.0,4953,"from L.Walton: Tianxia, 5.41a; inscription by Ji Hou, 41a-42b; 大明一統志 50.7b",
85,43,75,2,,,,,,18.0,,,,,,,,9599.0,1060,元代王志謹101222居居汴梁朝元 宮,
86,44,76,1,,,,,18.0,18.0,,,,,,,,9599.0,7999,,
87,45,77,1,,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Fuzhou fuzhi, 11.34b; 大明一統志 74.9b",
88,45,3189,1,1181.0,621.0,8.0,2.0,59.0,,,,,,,,,38278.0,322,多个出處:宋代書院與宋代學術之關係P322;元代書院之地理分佈P385.,
89,45,3217,1,1181.0,621.0,8.0,2.0,59.0,,,,,,,,,38282.0,30,,
90,45,3471,1,1300.0,625.0,4.0,2.0,18.0,,,,,,,,,38280.0,372,,
91,45,3724,1,1348.0,636.0,8.0,0.0,18.0,,,,,,,,,,,,
92,46,78,2,,,,,,18.0,,,,,,,,9599.0,14267,元代釋普明113313居吳中承天寺,
93,46,79,2,1300.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,104,Temple ID 138772 Location: 州城內; Founding: 元代; Other: 城内又有宝积寺,
94,46,80,2,1100.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,104,Temple ID 139402 Location: 寧朔縣西; Founding: 宋代夏人,
95,46,81,2,350.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,104,Temple ID 139799 Location: 江陵縣西北; Founding: 晋永和中; Other: 洪迈客斋四笔有记,
96,46,82,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,104,Temple ID 139841 Location: 黃崗縣南; Other: 苏轼夜游记,
97,46,83,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,104,Temple ID 139977 Location: 灌縣東南; Other: 俗名马祖寺，有马祖灵骨塔,
98,47,84,2,,,,,,18.0,,,,,,,,9599.0,14339,元代釋德謙113384居大都崇恩寺,
99,47,85,2,,,,,,18.0,,,,,,,,9599.0,13970,元代釋定113031居崇恩寺,
100,48,86,2,,,,,,18.0,,,,,,,,9599.0,14380,元代釋顯示113425居崇恩演福教寺,
101,49,87,2,,,,,,18.0,,,,,,,,9599.0,14116,元代釋行英113170居處州崇福寺,
102,49,88,2,1000.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,116,Temple ID 138626 Location: 朔州車門內; Founding: 辽，统和中; Other: 唐，高宗麟德之太师府，金天德二年今名,
103,49,89,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,116,Temple ID 138627 Location: 昌邑縣南,
104,49,90,2,0.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,116,Temple ID 138628 Location: 商城縣西北; Founding: 始建不详; Other: 旧名龙泉寺，明成化中今名,
105,49,91,2,420.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,117,Temple ID 139466 Location: 石門縣西; Founding: 梁，天熙二年; Other: 本名常乐寺，宋天禧二年今名，近有广福寺，祗园寺，俱天监中建立,
106,49,92,2,350.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,117,Temple ID 139701 Location: 州治南; Founding: 晋代; Other: 初宝宝林寺，宋祥符中今名,
107,49,93,2,1070.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,117,Temple ID 139853 Location: 安化縣浮泥山; Founding: 宋熙宁中; Other: 历代名僧驻此,
108,49,94,2,1145.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,117,Temple ID 140012 Location: 儀隴縣治西; Founding: 宋绍兴中,
109,49,95,2,1380.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,117,Temple ID 140088 Location: 廳南水中山; Founding: 明洪武中; Other: 一名定水寺,
110,49,96,2,940.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,117,Temple ID 140105 Location: 晉江縣東北隅; Founding: 五代陈洪进,
111,50,97,2,,,,,,18.0,,,,,,,,9599.0,14074,元代釋永真113129居吳江崇福永樂寺,
112,51,98,2,,,,,,18.0,,,,,,,,9599.0,14159,元代釋定演113211居大都崇國寺,
113,52,99,2,,,,,,18.0,,,,,,,,9599.0,14153,元代釋宗明113206居隨州崇寧萬壽寺,
114,53,100,1,1338.0,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Su Tianjue, 2.18-19 [Zhonghua ed.]",
115,54,101,1,,,,,18.0,18.0,,,,,,,,9599.0,10186,,
116,54,3733,1,1352.0,636.0,12.0,0.0,18.0,,,,,,,,,38280.0,398,,
117,54,3734,1,1353.0,636.0,13.0,0.0,18.0,,,,,,,,,38282.0,50,多个出處:中國古代的書院制度P50;中國書院制度考略P20.,
118,55,102,1,,,,,18.0,18.0,,,,,,,,9599.0,9606,from L.Walton: Sun 33 (Jiangxi #105); 大明一統志 50.7b; SYXA 78.6a; SYXA supp 78.38b,
119,56,103,1,,,,,18.0,18.0,,,,,,,,9599.0,1944,,
120,56,104,1,,,,,18.0,18.0,,,,,,,,9599.0,5909,,
121,56,105,1,,,,,18.0,18.0,,,,,,,,9599.0,8290,,
122,56,3439,1,1269.0,558.0,5.0,2.0,15.0,,,,,,,,,38278.0,310,多个出處:宋代書院與宋代學術之關係P310;元代書院之地理分佈P373;中國古代的書院制度P29.,
123,57,106,1,,,,,18.0,18.0,,,,,,,,9599.0,13724,,
124,58,107,1,1290.0,,,2.0,18.0,18.0,,,,,,,,9599.0,780,"from L.Walton: Yanyou, 14.30a-39a",
125,58,108,1,1282.0,,,,18.0,18.0,,,,,,,,9599.0,5872,"from L.Walton: Wei Su, Shuoxue zhaigao [e-SKQS], 1.18a-19b; 大明一統志 50.7b; Jiangxi tongzhi (UCB), 22.24b; Raozhou fuzhi, 7.24a",
126,58,3391,1,1279.0,623.0,16.0,2.0,18.0,,,,,,,,,,,,
127,59,109,2,,,,,,18.0,,,,,,,,9599.0,14117,元代釋行修113171居杭州慈修護聖禪院,
128,60,110,2,,,,,,18.0,,,,,,,,9599.0,14260,元代釋惠珏113306居臨州慈雲寺,
129,60,111,2,1735.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,85,Temple ID 138743 Location: 清河縣清江浦; Founding: 雍正十三年奉旨兴修; Other: 乾隆四年龙藏全部下赐,
130,60,112,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,85,Temple ID 138744 Location: 五臺縣五臺山; Other: 古名慈云社,
131,60,113,2,891.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,85,Temple ID 138745 Location: 膠州治西; Founding: 唐大顺一年,
132,60,114,2,65.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,85,Temple ID 138746 Location: 巩縣青龍山; Founding: 汉明帝时摩腾、竺法兰,
133,60,115,2,785.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,85,Temple ID 139429 Location: 府城內頭號市蒼; Founding: 唐李泌兴元二年; Other: 旧名甘露寺，祥符中今名,
134,60,116,2,800.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,85,Temple ID 139463 Location: 嘉善縣治西北; Founding: 唐代; Other: 旧名保安寺，宋代今名,
135,60,117,2,900.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,86,Temple ID 139683 Location: 贛縣東; Founding: 梁卢光稠; Other: 始名延寿。祥符中今名，元末毁，洪武中重建,
136,60,118,2,750.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,86,Temple ID 139847 Location: 湘鄉縣治南; Founding: 唐天宝中,
137,60,119,2,800.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,86,Temple ID 139848 Location: 瀏縣北大川山; Founding: 唐寿树禅师,
138,61,120,2,,,,,,18.0,,,,,,,,9599.0,14079,元代釋玄堅113134居雲南大德寺,
139,61,121,2,1203.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,152,Temple ID 138433 Location: 任邱縣大務村; Founding: 金太和三年; Other: 明嘉靖中重修，别有贤寺、吉灵寺,
140,61,122,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,152,Temple ID 140400 Location: 城西拜佛臺山下,
141,62,123,2,,,,,,18.0,,,,,,,,9599.0,14362,元代釋餘澤113407居吳之大弘教寺,
142,63,124,2,,,,,,18.0,,,,,,,,9599.0,13977,元代釋益113037居大洪濟寺,
143,64,125,2,,,,,,18.0,,,,,,,,9599.0,14365,元代釋膽巴113410居大護國仁王寺,
144,65,126,1,1293.0,,,2.0,18.0,18.0,,,,,,,,,,"from L.Walton: Dade, 2.13a-b; Zhizheng, 8.7b-8a; Yanyou, 14.25a-29b",
145,65,3451,1,1273.0,558.0,9.0,0.0,15.0,,,,,,,,,38277.0,11;34,"多个出處:中國古代書院發展史P11,34;宋代書院與宋代學術之關係P312;元代書院之地理分佈P375.",
146,65,3596,1,1300.0,625.0,4.0,2.0,18.0,,,,,,,,,38282.0,51,多个出處:中國古代的書院制度P51;中國書院制度考略P21.,
147,66,127,2,,,,,,18.0,,,,,,,,9599.0,14179,元代釋法喜113230居邠州大開元寺,
148,67,128,2,,,,,,18.0,,,,,,,,9599.0,14004,元代釋大訢28415居大龍翔集慶寺,
149,68,129,2,,,,,,18.0,,,,,,,,9599.0,14105,元代釋至明113160居四明大梅寺,
150,69,130,2,,,,,,18.0,,,,,,,,9599.0,14199,元代釋海印113250居居鄒縣大明 禪院,
151,70,131,1,,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Zhejiang tongzhi, 27.11a; Ningbo fu jianyao zhi, 2.5b",
152,71,132,1,,,,,18.0,18.0,,,,,,,,9599.0,6345,"from L.Walton: Wu Cheng, 20.25b-26a; 大明一統志 15.6a",
153,71,3392,1,1264.0,623.0,1.0,0.0,18.0,,,,,,,,,38278.0,333,多个出處:宋代書院與宋代學術之關係P333;元代書院之地理分佈P404.,
154,72,133,1,1280.0,,,-1.0,18.0,18.0,,,,,,,,9599.0,5168,"from L.Walton: SYXA 84.6a17; 73.13b15; 89.10a3; Jiangxi tongzhi, 82.2a-b",
155,72,3016,1,1119.0,538.0,1.0,2.0,15.0,,,,,,,,,38282.0,30,,
156,72,3410,1,1268.0,558.0,4.0,2.0,15.0,,,,,,,,,38279.0,114;225,,
157,72,3852,1,1314.0,628.0,1.0,0.0,18.0,,,,,,,,,38280.0,397,多个出處:元代書院之地理分佈P397;中國古代的書院制度P51;中國書院制度考略P21.,
158,73,134,1,,,,,18.0,18.0,,,,,,,,9599.0,9637,,
159,73,3356,1,1242.0,554.0,2.0,0.0,15.0,,,,,,,,,38277.0,12;35,"多个出處:中國古代書院發展史P12,35;宋代書院與宋代學術之關係P310;江西古代書院研究P112,227.",
160,74,135,2,,,,,,18.0,,,,,,,,9599.0,14009,元代釋子安113067居大都大慶壽寺,
161,75,136,2,,,,,,18.0,,,,,,,,9599.0,14379,元代釋覺慧113424居大天界寺,
162,75,137,2,,,,,,18.0,,,,,,,,9599.0,13998,元代釋力金113058居南京大天界寺,
163,76,138,1,,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Tianxia, 924-930",
164,76,3804,1,1216.0,608.0,9.0,2.0,17.0,,,,,,,,,38280.0,381,"多个出處:元代書院之地理分佈P381;中國古代的書院制度P51;中國書院制度考略P21;泉州古代書院P49,79.",
165,77,139,3,,,,,,18.0,,,,,,,,9599.0,2598,元代呂虛夷102593居居象山大瀛 海道院,
166,78,140,2,,,,,,18.0,,,,,,,,9599.0,14114,元代釋行全113169居兗州布金山大雲寺,
167,78,141,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,145,Temple ID 138405 Location: 縣北; Other: 一名冷泉寺,
168,78,142,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 138406 Location: 黎城縣龍耳山,
169,78,143,2,400.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 138407 Location: 泌水縣磕山; Founding: 元魏初; Other: 一名大云禅院，唐景福初今名,
170,78,144,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 138408 Location: 嶧縣西北; Other: 唐天宝中永安寺，宋宣各中严公寺，金大定中今名,
171,78,145,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 138409 Location: 府城南; Other: 明景泰中移建，有唐李邕大去禅院碑记,
172,78,146,2,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 138410 Location: 州治西; Other: 旧名西严院元至正中今名,
173,78,147,2,940.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 139565 Location: 麗水縣北; Founding: 五代,
174,78,148,2,800.0,0.0,0.0,2.0,0.0,20.0,,,,,,,,27842.0,146,Temple ID 140557 Location: 馬平縣仙跡山; Founding: 唐代; Other: 山下有天宁寺（灵泉寺）,
175,79,149,2,,,,,,18.0,,,,,,,,9599.0,14155,元代釋宗衍113207居嘉禾德藏寺,
176,80,150,1,1270.0,,,2.0,15.0,,,,,,,,,,,"from L.Walton: Ningbo fuzhi, 9.472",
177,81,151,2,,,,,,18.0,,,,,,,,9599.0,14064,元代釋正印113119居澱山寺,
178,82,152,1,,,,,18.0,18.0,,,,,,,,9599.0,5660,"from L.Walton: Huang Jin, 7 shang: 265-266; He Menggui, 8.8b-10a; Fang Hui, 35.4b-5b.",
179,83,153,1,,,,,18.0,18.0,,,,,,,,9599.0,10562,from L.Walton: SYXA 84.6b11;supp.84.29a9; 大明一統志 51.6b; Jiangxi tongzhi 82.3a,
180,84,154,2,,,,,,18.0,,,,,,,,9599.0,14241,元代釋處林113288居大慈山定慧禪寺,
181,85,155,2,,,,,,18.0,,,,,,,,9599.0,14323,元代釋與恭113368居吳郡定惠寺,
182,86,156,2,,,,,,18.0,,,,,,,,9599.0,14152,元代釋來復113205居慈溪之定水院,
183,86,157,2,,,,,,18.0,,,,,,,,9599.0,14133,元代釋妙源53291居紹興定水院,
184,87,158,1,1315.0,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Cheng Jufu, Cheng xuelou wenji (Yuandai zhenben NCL 1960 ed), 13.16b-17b",
185,88,159,1,,,,,18.0,18.0,,,,,,,,9599.0,8983,,
186,89,160,1,,,,,18.0,18.0,,,,,,,,,,from L.Walton: SYXA:supp.bie 3.23b3; 大明一統志 63.14a,
187,90,161,1,,,,,18.0,18.0,,,,,,,,9599.0,943,from L.Walton: 大明一統志 49.9b,
188,90,162,1,,,,,18.0,18.0,,,,,,,,9599.0,16670,"from L.Walton: Zhizheng, 8.13a-b [inscription by Cheng Duanxue, Weizhai ji, 4.1a-2b, SMCS ed]; Dardess, Conf & Autocracy, p.40",
189,90,163,1,,,,,18.0,18.0,,,,,,,,,,from L.Walton: 大明一統志 40.11b,
190,90,3017,1,1119.0,538.0,1.0,2.0,15.0,,,,,,,,,38282.0,30,,
191,91,164,1,1346.0,,,,18.0,18.0,,,,,,,,,,"from L.Walton: Wei Su, 4.7b-9a",
