,Unnamed: 0,name,ge,number,year,director,writer,act,length,type,region
10,10,疯狂动物城 Zootopia,9.2,1389805,2016,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什","拜伦·霍华德,瑞奇·摩尔,杰拉德·布什,吉姆·里尔顿,乔西·特立尼达,菲尔·约翰斯顿,珍妮弗·李","金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯,邦尼·亨特,唐·雷克,汤米·钟,J·K·西蒙斯,奥克塔维亚·斯宾瑟,艾伦·图代克,夏奇拉,雷蒙德·S·佩尔西,德拉·萨巴,莫里斯·拉马奇,菲尔·约翰斯顿,约翰·迪·马吉欧,凯蒂·洛斯,吉塔·雷迪,杰西·科尔蒂,汤米·利斯特,乔希·达拉斯,瑞奇·摩尔,凯斯·索西,彼得·曼斯布里奇,拜伦·霍华德,杰拉德·布什,马克·史密斯,乔西·特立尼达,约翰·拉维尔,克里斯汀·贝尔,吉尔·科德斯,梅利莎·古德温",109分钟(中国大陆),"喜剧,动画,冒险",美国
11,11,三傻大闹宝莱坞 3 Idiots,9.2,1446455,2009,拉吉库马尔·希拉尼,"维德胡·维诺德·乔普拉,拉吉库马尔·希拉尼,阿希贾特·乔希","阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达,博曼·伊拉尼,莫娜·辛格,拉杰夫·拉宾德拉纳特安",171分钟(印度),"剧情,喜剧,爱情,歌舞",印度
12,12,摔跤吧！爸爸 Dangal,9.0,1191835,2016,涅提·蒂瓦里,"比于什·古普塔,施热亚·简,尼基尔·麦罗特拉,涅提·蒂瓦里","阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃,塞伊拉·沃西,苏哈妮·巴特纳格尔,里特维克·萨霍里,吉里什·库卡尼",161分钟(印度),"剧情,家庭,传记,运动",印度
13,13,复仇者联盟3：无限战争 Avengers: Infinity War,8.1,676819,2018,"安东尼·罗素,乔·罗素","杰克·科比,克里斯托弗·马库斯,斯蒂芬·麦克菲利,吉姆·斯特林","小罗伯特·唐尼,克里斯·海姆斯沃斯,克里斯·埃文斯,马克·鲁弗洛,乔什·布洛林,佐伊·索尔达娜,本尼迪克特·康伯巴奇,克里斯·帕拉特,汤姆·赫兰德,伊丽莎白·奥尔森,保罗·贝坦尼,斯嘉丽·约翰逊,查德维克·博斯曼,塞巴斯蒂安·斯坦,唐·钱德尔,汤姆·希德勒斯顿,安东尼·麦凯,本尼迪克特·王,戴夫·巴蒂斯塔,布莱德利·库珀,范·迪塞尔,凯伦·吉兰,利蒂希娅·赖特,庞·克莱门捷夫,凯莉·库恩,汤姆-沃恩-劳勒,海登·瓦尔希,迈克尔·詹姆斯·肖,泰瑞·诺塔里,本尼西奥·德尔·托罗,彼特·丁拉基,罗斯·马昆德,丹娜·奎里拉,温斯顿·杜克,弗洛伦丝·卡松巴,塞缪尔·杰克逊,雅各布·巴特朗,斯坦·李",149分钟,"动作,科幻,奇幻,冒险",美国
14,14,哪吒之魔童降世,8.4,1510951,2019,饺子,"饺子,易巧,魏芸芸","吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮,张珈铭,杨卫",110分钟,"剧情,喜剧,动画,奇幻",中国大陆
15,15,怦然心动 Flipped,9.1,1355209,2010,罗伯·莱纳,"罗伯·莱纳,安德鲁·沙因曼,文德琳·范·德拉安南","玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼,佩内洛普·安·米勒,艾丹·奎因,凯文·韦斯曼,摩根·莉莉,瑞安·克茨纳,吉莉安·普法夫,迈克尔·博萨,博·勒纳,杰奎琳·埃沃拉,泰勒·格鲁秀斯,艾莉·布莱恩特,阿什莉·泰勒,伊瑟尔·布罗萨德,科迪·霍恩,迈克尔·博尔顿,肖恩·哈珀,斯戴芬妮·斯考特,帕特丽夏·伦茨,马修·戈尔德,阿罗拉·凯瑟琳·史密斯,凯莉·唐纳利,索菲亚·撒高,米歇尔·梅斯默,斯科特·乔尔·吉兹基,罗德·迈尔斯,卡拉 帕西托,凯特琳·帕西托",90分钟,"剧情,喜剧,爱情",美国
16,16,让子弹飞,8.8,1218018,2010,姜文,"朱苏进,述平,姜文,郭俊立,危笑,李不空,马识途","姜文,葛优,周润发,刘嘉玲,陈坤,张默,姜武,周韵,廖凡,姚橹,邵兵,苗圃,冯小刚,胡军,马珂,白冰,杜奕衡,李静,胡明,危笑,杨奇雨,赵铭",132分钟,"剧情,喜剧,动作,西部","中国大陆,中国香港"
17,17,海上钢琴师 La leggenda del pianista sull'oceano,9.3,1295769,1998,朱塞佩·托纳多雷,"亚利桑德罗·巴里克,朱塞佩·托纳多雷","蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,克兰伦斯·威廉姆斯三世,梅兰尼·蒂埃里,皮特·沃恩,尼尔·奥布赖恩,阿尔贝托·巴斯克斯,加布里埃莱·拉维亚,科里·巴克,西德尼·科尔,Luigi De Luca,尼古拉·迪·平托,费米·依鲁福祖,伊斯顿·盖奇,凯文·麦克纳利,布莱恩·普林格,沙拉·鲁宾,希思科特·威廉姆斯,阿妮妲·扎格利亚,安吉洛·迪洛雷塔",165分钟,"剧情,音乐",意大利
18,18,当幸福来敲门 The Pursuit of Happyness,9.1,1165113,2006,加布里埃莱·穆奇诺,斯蒂夫·康拉德,"威尔·史密斯,贾登·史密斯,坦迪·牛顿,布莱恩·豪威 ,詹姆斯·凯伦,丹·卡斯泰兰尼塔,柯特·富勒,塔卡尤·费舍尔,凯文·韦斯特,乔治·张,戴维·迈克尔·西尔弗曼,多米尼克·博夫,杰弗·卡伦,乔伊芙·拉文,斯科特·克拉斯",117分钟,"剧情,家庭,传记",美国
19,19,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,1154436,1995,刘镇伟,刘镇伟,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛,莫文蔚,罗家英,刘镇伟,陆树铭,李健仁",95分钟,"喜剧,爱情,奇幻,古装","中国香港,中国大陆"
20,20,你的名字。 君の名は。,8.4,1047065,2016,新海诚,新海诚,"神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌,悠木碧,岛崎信长,石川界人,谷花音,寺杣昌纪,大原沙耶香,井上和彦,茶风林,加藤有花,花泽香菜,寺崎裕香",106分钟,"剧情,爱情,动画",日本
21,21,忠犬八公的故事 Hachi: A Dog's Tale,9.4,1084654,2009,拉斯·霍尔斯道姆,"斯蒂芬·P·林赛,新藤兼人","理查·基尔,萨拉·罗默尔,琼·艾伦,罗比·萨布莱特,艾瑞克·阿瓦利,田川洋行,杰森·亚历山大,罗伯特·卡普荣",93分钟,剧情,"美国,英国"
22,22,寻梦环游记 Coco,9.1,1170788,2017,"李·昂克里奇,阿德里安·莫利纳","阿德里安·莫利纳,马修·奥尔德里奇,李·昂克里奇,詹森·卡茨","安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托,杰米·卡米尔,阿方索·阿雷奥,赫伯特·西古恩萨,加布里埃尔·伊格莱西亚斯,隆巴多·博伊尔,安娜·奥菲丽亚·莫吉亚,娜塔丽·科尔多瓦,赛琳娜·露娜,爱德华·詹姆斯·奥莫斯,索菲亚·伊斯皮诺萨,卡拉·梅迪纳,黛娅娜·欧特里,路易斯·瓦尔德斯,布兰卡·阿拉切利,萨尔瓦多·雷耶斯,切奇·马林,奥克塔维·索利斯,约翰·拉岑贝格",105分钟,"喜剧,动画,音乐,奇幻",美国
23,23,星际穿越 Interstellar,9.3,1262141,2014,克里斯托弗·诺兰,"乔纳森·诺兰,克里斯托弗·诺兰","马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克,迈克尔·凯恩,马特·达蒙,蒂莫西·柴勒梅德,艾伦·伯斯汀,约翰·利思戈,韦斯·本特利,大卫·吉亚西,比尔·欧文,托弗·戈瑞斯,科莱特·沃夫,弗朗西斯·X·麦卡蒂,安德鲁·博尔巴,乔什·斯图沃特,莱雅·卡里恩斯,利亚姆·迪金森,杰夫·赫普内尔,伊莱耶斯·加贝尔,布鲁克·史密斯,大卫·奥伊罗,威廉姆·德瓦内,拉什·费加,格里芬·弗雷泽,弗洛拉·诺兰",169分钟,"剧情,科幻,冒险","美国,英国,加拿大,冰岛"
24,24,楚门的世界 The Truman Show,9.3,1176520,1998,彼得·威尔,安德鲁·尼科尔,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",103分钟,"剧情,科幻",美国
25,25,头号玩家 Ready Player One,8.7,1065094,2018,史蒂文·斯皮尔伯格,"扎克·佩恩,恩斯特·克莱恩","泰伊·谢里丹,奥利维亚·库克,本·门德尔森,马克·里朗斯,丽娜·维特,森崎温,赵家正,西蒙·佩吉,T·J·米勒,汉娜·乔恩-卡门,拉尔夫·伊内森,苏珊·林奇,克莱尔·希金斯,劳伦斯·斯佩尔曼,佩蒂塔·维克斯,艾萨克·安德鲁斯",140分钟,"动作,科幻,冒险",美国
26,26,绿皮书 Green Book,8.9,1161521,2018,彼得·法雷里,"尼克·瓦莱隆加,布莱恩·库瑞,彼得·法雷里","维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫,迈克·哈顿,P·J·伯恩,乔·柯蒂斯,玛姬·尼克松,冯·刘易斯,乔恩·索特兰,唐·斯达克,安东尼·曼加诺,保罗·斯隆,珍娜·劳伦索,肯尼斯·以色列,伊克博·塞巴,尼克·瓦莱隆加,大卫·安,迈克·切罗内,杰拉尔丁·辛格,马丁·巴特斯·布拉德福德,格拉伦·布莱恩特·班克斯,汤姆·维图,夏恩·帕特洛,丹尼斯·W·霍尔,吉姆·克洛克,戴恩·罗兹,布赖恩·斯特帕尼克,乔恩·迈克尔·戴维斯,布莱恩·库瑞,托尼亚·马尔多纳多",130分钟,"剧情,喜剧,传记",美国
27,27,阿凡达 Avatar,8.7,998645,2009,詹姆斯·卡梅隆,詹姆斯·卡梅隆,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,史蒂芬·朗,米歇尔·罗德里格兹,吉奥瓦尼·瑞比西,乔·大卫·摩尔 ,希·庞德,韦斯·斯塔迪,拉兹·阿隆索,迪利普·劳,马特·杰拉德,肖恩·安东尼·莫兰",162分钟,"动作,科幻,冒险","美国,英国"
28,28,一出好戏,7.1,766029,2018,黄渤,"黄渤,张冀,郭俊立,查慕春,崔斯韦,邢爱娜,黄湛中","黄渤,舒淇,王宝强,张艺兴,于和伟,王迅,李勤勤,李又麟,宁浩,管虎,梁静,徐峥,陈德森,张磊",134分钟,"剧情,喜剧",中国大陆
29,29,毒液：致命守护者 Venom,7.2,684299,2018,鲁本·弗雷斯彻,"杰夫·皮克纳,斯科特·罗森伯格,凯莉·马塞尔,托德·麦克法兰,大卫·米其林","汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,里德·斯科特,珍妮·斯蕾特,梅洛拉·沃尔特斯,伍迪·哈里森,佩吉·陆,马尔科姆·C·默里,索佩·阿卢科,韦恩·佩雷,米歇尔·李,库尔特·岳,克里斯·奥哈拉,埃米里奥·瑞弗拉,阿里亚当娜·约瑟夫,袁之正,朴云龙,麦克·勃兰特,尼克·图恩,山姆·麦地那,迪塞尔·马德金斯,简·麦克尼尔,维克托·麦凯,马丁·巴特斯·布拉德福德,布兰顿·莫拉莱斯,马修·康威尔,斯坦·李,韦德·威廉姆斯,约瑟夫·阿梅,威廉·W·巴伯,玛塞拉·布拉吉奥,卡特·伯奇,克里斯蒂安·康佛瑞,詹姆斯·富尔特斯,丹妮拉·加斯基,约翰·盖蒂尔,艾米丽塔·T·冈萨雷斯,杰克·汉森,安东尼·B·哈里斯,卡茜·亨德利,罗恩·彼得·琼斯,霍梅洛·洛佩兹,万恩·姆约维奇",112分钟,"动作,科幻,惊悚","美国,中国大陆"
30,30,少年派的奇幻漂流 Life of Pi,9.1,1075743,2012,李安,"扬·马特尔,大卫·麦基","苏拉·沙玛,伊尔凡·可汗,拉菲·斯波,阿迪勒·侯赛因,塔布,阿尤什·坦东,加塔姆·贝鲁尔,阿彦·汗,穆德·阿巴斯·卡勒里,维比什·希瓦库玛,热拉尔·德帕迪约,詹姆斯·塞托,俊·奈托,安德里亚·迪·斯戴法诺,沙拉万提·塞纳特,王柏杰,柯一正,黄健玮",127分钟,"剧情,奇幻,冒险","美国,中国台湾,英国,加拿大"
31,31,龙猫 となりのトトロ,9.2,967163,1988,宫崎骏,宫崎骏,"日高法子,坂本千夏,糸井重里,岛本须美,北林谷荣,高木均,雨笠利幸,丸山裕子,广濑正志,鹫尾真知子,铃木玲子,千叶繁,龙田直树,鳕子,西村朋纮,石田光子,神代知衣,中村大树,水谷优子,平松晶子,大谷育江",86分钟,"动画,奇幻,冒险",日本
32,32,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,921267,1995,刘镇伟,"刘镇伟,吴承恩","周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚,江约诚,陆树铭,刘镇伟,朱茵,李健仁",87分钟,"喜剧,爱情,奇幻,古装","中国香港,中国大陆"
33,33,放牛班的春天 Les choristes,9.3,1004894,2004,克里斯托夫·巴拉蒂,"乔治·沙普罗,勒·惠勒,诺埃-诺尔,克里斯托夫·巴拉蒂,菲利普·洛佩斯-屈瓦尔","热拉尔·朱尼奥,弗朗索瓦·贝莱昂,凯德·麦拉德,让-保罗·博奈雷,玛丽·布奈尔,让-巴蒂斯特·莫尼耶,马科森斯·珀林,格雷戈里·加迪诺尔,托马斯·布伦门塔尔,西里尔·伯尔尼科特,西蒙·法戈特,泰奥杜尔·卡雷-卡赛尼,菲利普·杜·詹纳兰德,埃里克·德斯玛莱茨,狄迪尔·弗拉蒙,雅克·贝汉",97分钟,"剧情,音乐","法国,瑞士,德国"
34,34,红海行动,8.3,845511,2018,林超贤,"冯骥,陈珠珠,林明杰","张译,黄景瑜,海清,杜江,蒋璐霞,尹昉,王强,郭家豪,王雨甜,麦亨利,张涵予,王彦霖",138分钟,"动作,战争","中国大陆,中国香港"
35,35,飞屋环游记 Up,9.0,1012722,2009,"彼特·道格特,鲍勃·彼德森","彼特·道格特,鲍勃·彼德森,汤姆·麦卡锡","爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,德尔罗伊·林多,杰罗姆·兰福特,约翰·拉岑贝格,大卫·卡耶,艾丽·道克特,杰里米·利里,米凯·麦高万,丹尼·曼恩,唐纳德·富利洛夫,杰斯·哈梅尔,乔什·库雷,彼特·道格特",96分钟,"剧情,喜剧,动画,冒险",美国
36,36,海王 Aquaman,7.6,752661,2018,温子仁,"大卫·莱斯利·约翰逊-麦戈德里克,威尔·比尔,乔夫·琼斯,温子仁,莫尔特·魏辛格,保罗·诺里斯","杰森·莫玛,艾梅柏·希尔德,威廉·达福,帕特里克·威尔森,妮可·基德曼,杜夫·龙格尔,叶海亚·阿卜杜勒-迈丁,特穆拉·莫里森,林路迪,迈克尔·比奇,兰道尔·朴,格拉汉姆·麦克泰维什,雷·沃纳尔,泰努伊·柯克伍德,塔穆尔·柯克伍德,丹泽尔·夸克,卡恩·古尔杜尔,奥蒂斯·丹吉,克考亚·克库毛诺,朱莉·安德鲁斯,约翰·瑞斯-戴维斯,杰曼·翰苏,索菲亚·福雷斯特,娜塔莉·萨福兰,杰克·安德鲁,汉克·阿莫斯,帕特里克·考克斯,罗伯特·朗斯特里特,德维卡·帕利赫,梅布尔·塔莫内,文森特·B·拉戈斯,加布里埃拉·佩特科娃,爱丽丝·兰斯伯里,帕特里克·艾奇逊,约翰·盖蒂尔,塔丽亚·杰德·霍尔特,罗斯·克纳汉,布拉登·刘易斯,萨尔瓦多·梅伦达,山姆·莫纳汉,温妮·穆赞贝,凯·潘塔诺,安娜·帕奇,乔恩·奎斯蒂德,迪伦·斯图默,米奇·武尔夫",143分钟,"动作,奇幻,冒险","美国,澳大利亚"
37,37,机器人总动员 WALL·E,9.3,1021065,2008,安德鲁·斯坦顿,"安德鲁·斯坦顿,吉姆·里尔顿,彼特·道格特","本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特,西格妮·韦弗,MacInTalk,约翰·拉岑贝格,凯茜·纳基麦,泰迪·牛顿,鲍伯·伯根,洛丽·理查德森,吉姆·瓦德,彼特·道格特,安德鲁·斯坦顿,杰夫·皮金,约翰·齐甘,米凯·麦高万,雪莉·琳恩,克莱特·惠特克,唐纳德·富利洛夫,罗里·艾伦,杰斯·哈梅尔,拉瑞恩·纽曼,扬·拉布森,保罗·伊丁",98分钟,"科幻,动画,冒险",美国
38,38,少年的你,8.3,1172738,2019,曾国祥,"林咏琛,李媛,许伊萌","周冬雨,易烊千玺,尹昉,周也,吴越,黄觉,张艺凡,张耀,张歆怡,赵润南,郜玄铭,谢欣桐,刘然,何廖侣匀,胖虎,罗俊林",135分钟,"剧情,爱情,犯罪",中国大陆
39,39,无间道 無間道,9.2,943453,2002,"刘伟强,麦兆辉","麦兆辉,庄文强","刘德华,梁朝伟,黄秋生,曾志伟,郑秀文,陈慧琳,陈冠希,余文乐,杜汶泽,林家栋,萧亚轩",101分钟,"剧情,悬疑,犯罪",中国香港
40,40,无名之辈,8.1,847090,2018,饶晓志,"饶晓志,雷志龙","陈建斌,任素汐,潘斌龙,章宇,王砚辉,九孔,马吟吟,程怡,宁桓宇,邓恩熙,谢波,范翔,赵梓冲,史策,马睿瀚,林海,邓钢",108分钟,"剧情,喜剧",中国大陆
41,41,无双 無雙,8.1,763984,2018,庄文强,庄文强,"周润发,郭富城,张静初,冯文娟,廖启智,周家怡,王耀庆,方中信,高捷,邢佳栋,张松枝,张建声,吴嘉龙,孙佳君",130分钟,"剧情,动作,悬疑,犯罪","中国大陆,中国香港"
42,42,复仇者联盟4：终局之战 Avengers: Endgame,8.5,882325,2019,"安东尼·罗素,乔·罗素","克里斯托弗·马库斯,斯蒂芬·麦克菲利,斯坦·李,杰克·科比,吉姆·斯特林","小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,乔什·布洛林,保罗·路德,凯伦·吉兰,杰瑞米·雷纳,斯嘉丽·约翰逊,唐·钱德尔,布丽·拉尔森,布莱德利·库珀,泰莎·汤普森,汤姆·赫兰德,伊丽莎白·奥尔森,本尼迪克特·康伯巴奇,蒂尔达·斯文顿,格温妮斯·帕特洛,蕾妮·罗素,约翰·斯拉特里,查德维克·博斯曼,安东尼·麦凯,塞巴斯蒂安·斯坦,克里斯·帕拉特,汤姆·希德勒斯顿,佐伊·索尔达娜,丹娜·奎里拉,本尼迪克特·王,庞·克莱门捷夫,戴夫·巴蒂斯塔,利蒂希娅·赖特,伊万杰琳·莉莉,乔恩·费儒,海莉·阿特维尔,娜塔莉·波特曼,玛丽莎·托梅,塔伊加·维迪提,安吉拉·贝塞特,迈克尔·道格拉斯,米歇尔·菲佛,威廉·赫特,寇碧·史莫德斯,肖恩·古恩,温斯顿·杜克,琳达·卡德里尼,马克斯米利亚诺·赫尔南德斯,弗兰克·格里罗,真田广之,汤姆-沃恩-劳勒,詹姆斯·达西,雅各布·巴特朗,范·迪塞尔,罗伯特·雷德福,塞缪尔·杰克逊,伊薇特·尼科尔·布朗,卡梅伦·布鲁姆布罗,蒂莫西·卡尔,凯瑞·康顿,迈克尔·A·库克,凯莉·库恩,艾玛·福尔曼,雷纳·加拉赫,丹妮拉·加斯基,郑肯,小弗洛伊德·安东尼·约翰,斯坦·李,罗斯·马昆德,布伦特·麦吉,迈克尔·皮耶里诺·米勒,卡兰·马尔韦,泰瑞·诺塔里,吉米·雷·皮肯斯,迈克尔·詹姆斯·肖,泰·辛普金斯,格雷格·蒂芬",181分钟,"剧情,动作,科幻,奇幻,冒险",美国
43,43,战狼2,7.1,758405,2017,吴京,"吴京,董群,刘毅","吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗,丁海峰,淳于珊珊,余男,于谦,石兆琪,海蒂·莫尼梅克,奥列格·普鲁迪乌斯,艾伦·托尼,赛尔·哈里斯,高明,王森,苇青,程愫,张永达,郭秋成,杜建桥,周冠廷,安·詹姆斯,黛安娜·希拉,孙率航,张馨月,关海龙,安妮塔·斯图尔特,特雷弗·琼斯,奥斯汀·普里斯特,克莱·方特诺特,保罗·艾力卡,丹尼尔·哈格里夫,李镇男,庄小龙,陈云志,肯尼迪",123分钟,"动作,战争",中国大陆
44,44,唐人街探案2,6.7,726470,2018,陈思诚,陈思诚,"王宝强,刘昊然,肖央,刘承羽,尚语贤,王迅,妻夫木聪,迈克尔·皮特,白灵,元华,曾江,王成思,杨金赐,范湉湉,佟丽娅,陈思诚",121分钟,"喜剧,动作,悬疑",中国大陆
45,45,釜山行 부산행,8.5,873685,2016,延尚昊,延尚昊,"孔侑,郑有美,马东锡,金秀安,金义城,崔宇植,安昭熙,崔奎华,郑锡勇,艺秀晶,朴明申,张赫镇,禹都临,沈恩京",118分钟,"动作,惊悚,灾难",韩国
46,46,飞驰人生,6.9,759395,2019,韩寒,韩寒,"沈腾,黄景瑜,尹正,张本煜,尹昉,田雨,魏翔,赵文瑄,腾格尔,易小星,李庆誉,高华阳,刘帅良,李玲玉,何穗,潘晓婷,田原,李春嫒,冯绍峰",98分钟,喜剧,中国大陆
